,username,tweet,cluster
40,00mario,People don t like the music link thing Miss      ,31
49,00sam7,@littlebigchris  It s going to be okay  Chin up Mr  Seams different here my lunches will be lonely  I miss you Andrew  haha ,31
317,0ttilie,phoenix    gt  japan is about 6 000 miles  i miss matt ,31
388,101Denise,@franzne online for 3 or 4 hours   dang  that s torture  dude   i wanna go to the metro station s concert   @franzne i ll miss you   Good morning   haha  okay  enough with all the drama stuffs    i ll just miss being online 24 7  ,31
405,103Julia,I m SO sad I m going to miss MICHAEL JACKSON in London  ,31
649,13Nina13,i miss my baby ,31
705,13zengirl,I agree  Those r the ONLY 2 stations i listen 2  U miss 98 rock  i miss 105 9  may they rest in peace ,31
735,14cami,@belu jb i miss you too  ,31
778,16missedcalls,Been sad all day because of the weather  Got sick today   That s why I didnt update any tweets earlier  I wont be able to go to church today  @niellimartinez Aww  gt  lt  Thanks  bes  HAHA  Shucks  tanda ko na  Hahaha  I LOVE AND MISS YOU TOO  OHMYGOD It s my 1ooth tweet   Wooh  Hahaha  #myweakness HA     Video games  Wii  PSP  PS3  PC games  name it  I MISS ROCK BAAAAND ,31
876,1995emma,i miss venice already ,31
966,1Day2BEAwesome,I really don t miss my job    I just miss my job title    I know being a stay at home mom is best for the fam  but it s hard to stay  hot  My dad saw his surprise family portrait we got for him for father s day     Stupid facebook ,31
1250,1lovebug,cant wait to go to texas   i think  miss my daddy ,31
1285,1nanny,so  @tracekase  you ll keep an eye on our crip @machethigpin today  right  ya miss me girls   I slept till 8 30 ,31
1315,1pierce4u,Sweet  More kisses 4 me  I miss u 2      Can t wait to see u      ,31
1654,28starz,Why do guys gota break girls hearts      i wana send a shout out to my friend cristy hope u feel better cuz we miss u ,31
1662,2AWKWARD,@mttyrcks I miss you   ,31
1671,2Bnokki,My cousin was called home to be with the Lord last night    RIP Peaches I love you and i will miss you   Today was a hard day ,31
1698,2JR,Im going to play Swat4 now  Good bye twitter    I Will Miss you baby  Meet up again in about 2 hours ,31
