,username,tweet,cluster
48,00pom,y is it that the 1 thing that wood make u happy is the 1 thing that u carnt have ,20
480,1195James,Not a very happy birthday today ,20
487,11Phoenix,off to a great start    since my laptop decided to be a beotch and die on me this morning     @goblue122 @kkosatka Happy Birthday  Hope it was a good one   ,20
544,123beethoven,@textzicke Happy birthday ,20
566,123mickey456,My birthday is coming June 3 ,20
587,12Kim34,no cottage   no stag and doe    what a shitty birthday weekend,20
661,13beccaFOD,why did Alex and Eli leave  I m so sad about that    Especially Alex @janaFOD i just read it  Such a bummer that we wont see Alex dancing the lurpy anymore   @janaFOD Yes  I m so sorry  I emailed you back  I sound very frustrated in my email  Just mad because it happened to you  That s not right @DavidArchie AREN T YOU TIRED  OH YEA  YOU GAINED A DAY  so basically your in yesterday   @suttygal didn t get a chance to say Happy Birthday  Hope it was a happy one  ,20
723,14BleedForYou9,Today is not my happy day ,20
1000,1Host,Happy Monday everyone ,20
1227,1ijustinefan,I m so happy today ,20
1514,21stCenturyHGH,Happy Friday everyone ,20
1527,22ADin09,is happy  and things of that nature ,20
1646,28092008,just back from school  oh my hair is a mess   D but anyways  today s my mom s birthday  HAPPY B DAY MOM    lt 33 ,20
1716,2Percentmusic,Twitter sucks  Happy birthday lindsay ,20
1798,2ee3i7ee,Goin  Big C  p  still not happy yet  so worry ,20
2062,34StreetVintage,@irmasburgers actually i would like a no name burger with avocado  fries  and a dr pepper please   This one goes out to @angelagolightly since it s her special day  Happy Birthday Angela        http   blip fm  7jffe,20
2101,3Almog3,Sooo happy friday is here ,20
2108,3CHO,@trent reznor  Happy Birthday ,20
2414,40473,@Acid Amber happy birthdayyy  ,20
2896,5ophi3,Not very happy because my laptop decided to delete all my music ,20
3241,8060,i am not happy at all ,20
3419,8l_MEG_l8,@StaceyLovesCart Happy Birthday  sweet  beautiful lady   Sorry you re sick  ,20
3505,94914dianaa,happy bday amy   where every you are ,20
3570,9gag,@abbyisawkward Glad it makes you happy  Smile  ,20
3997,ADot0902,So happy  my Philly teams won  ,20
4420,ALGMan,Happy Anniversary  I am the luckiest girl in the world ,20
4462,ALMonks1,I m awake dressed and out the door but i m not very happy about it     ,20
4464,ALPosoff421,im spending the day at the zoo with my ship loves   sun burnt  tired  and scratched with chicken wire   but its was worth the past two days   relaxing at alisons  happy birthday dad  ,20
4508,ALib522,At my cousin s birthday party    ,20
4866,AQua_ng,Happy belated birthday to Megumi  ,20
4940,ARliaatmadja,happy monday Indonesian ,20
5069,ASparkleChick,@babblingbrookie Happy Birthday   It s my birthday today  too   Hope you have a great day   ,20
5091,ATIQgoodbye,HAPPY ONE MONTH BABY   lovesyou      ,20
5178,AV8RCOP,Back from Dr  said Judy can start walking again  little bit  She s happy so I m happy  Gotta fix dinner now  Need some rest  Work 2morrow ,20
5234,AWritersWay,Hoping this pain will magically vanish today  Alakazam  Gonna get some homework done  amp  hang with my mom   hopefully seeing Ny tonight  Just finished writing something   Tiny Titans then sleep hopefully Seymore will behave  @nvinciquarra go to Bar Stine   hanging out with my boy  amp  Mark  Happy Birthday @nvinciquarra   I can t wait to spend your birthday with you   The full moon is so wonderful  and I m so in love ,20
5410,A_Twilight_Life,Happy Birthday Nikki Reed  She is 21   Lo,20
5571,AaronSalazar,is on his deathbed  Happy birthday Nicoke   love youuuu,20
5598,AaronWoodbury,@trent reznor Happy Birthday Trent  Yours is easy to remember because my birthday is also today   Oddly  I also grew up in Cleveland ,20
5683,Abaddon626,I can t belive it my birthday is in 9 days I m getting so old ,20
5721,AbbeyNPrice,sad tired and happy  My dog is not feeling well   I am soo tired     I am happy because I got good comments on youtube  long story  ,20
5976,Abi_Beswick,Is thinking times are very good now   is feeling very happy despite the amount of work that i need to do today    Happy times ,20
6094,Abs_Sydney,@GYDancer thank goodness indeed  Soo happy it s the weekend ,20
6230,AceProjectNow,Another big week ahead  Happy Monday guys ,20
6283,Acid_Amber,Happy 18th Birthday To Me ,20
6287,Acidb1,wants to wish his very very very oh so special friend  Caryn  an awesome  happy  blessed birthday ,20
6299,AckbadShidad,@lilyroseallen  Happy Birthday ,20
6647,Adamwarner3,is so happy exams are over and that it s his birthday tomorrow ,20
6698,AddictiveBriana,Happy Birthday Miss April aka Gia Dior Hilton love ya biatch  ,20
6918,AdoraBoutique,New clothes  Happy monday ,20
7195,AdzyPadzy,@DHughesy Thats when i have my birthday  but we already have plans ,20
7290,Aevabird,Birthday was good  Thanks guys for the well wishes ,20
7298,Afaf_AlMadinah,@samiyusuf Alhamdulillah  so happy to hear that   God bless you ,20
7533,AgnieszkaSt,@Sharmila82 A very happy birthday to you   Enjoy yourself  ,20
7654,Ahutchens,Is going to be Ashton Latner   @bufffiiieee happy birthday trevor   and congrats about getting a laptop  When s your birthday  ,20
7670,Ai_niy,Happy Birthday  my dah ling Baim      mmmmuahh    ,20
8038,Aishwaryarao,@Nevinsp My Birthday is on Monday  But thanks in advance ,20
8229,Akireh07,@lautner taylor OMG   so happy dat ur following me  tHank u soooo much   ,20
8286,AlBoeBNO,@LouieC3 Happy Saturday ,20
8367,Alainski,Happy Birthday to me   im 20 na  wahahaha  ,20
8473,AlannaFLETCHERR,is so excited for sidneys birthday       BOWLING IS COOL    watching mtv movie awards    ,20
8597,AldonLamb,@DavidYoumans Happy Birthday  David ,20
8644,AlecksandrGreat,No longer my birthday   I m blazed  Its fun ,20
9108,Alex_Cheerlife,10 days til the golden birthday ,20
9171,AlexaGallardo,@SaraHDanger Haha I think we re all in the same situation  lol  @Alexa 13 You are  Happy Mothers Day       amp  Happy Birthday Cameron   Today was SOOOO much fun     What do you do when it s late  everyone s asleep already  you re up by yourself  you re tired and you have a busy day ahead     SLEEP ,20
9245,Alexandra824,UPSET idid not get to see my bestfrienddd   tim   on his birthday ,20
9299,Alexandria_x,Easter blues   Chocolate  It makes people happy   ,20
9401,Alexis_S,about to babysit  I m not too happy  ,20
9768,AlicePWilson,not happy about the fact that my camera may be broken ,20
9804,Alice_May,is still hoping for a happy ending   and is off for a shower lllaaaavvllllyyyy ,20
9865,AliciaBragg,is happy that tawny is happy she has twitter ,20
