,username,tweet,cluster
33,00jillian,I wish Ryan hadn t scheduled his wedding for the exact same time as the Kentucky Derby  ,0
126,067Danielle,ZnaTrainer Hello Beautiful   thank you again  It is all happening now x Wish me luck x  With Love  Annette  Time to get Creative  lol X,0
228,0cL0ver,headache  I wish there were an urban outfitters in munich   ,0
250,0hshits0n,Verizon blackberry sucks major balls   I just wanna c if this goes thru   but bb storm really does suck   I wish I knew how to fix what s broken  ,0
282,0netr1be, Morning Twitterers  I wish everyone a peaceful and productive day  Enjoy  ,0
294,0oiluvkrys,@vitaminellen wish you were in AZ  I need some training ,0
324,0x71,@pydanny you pictures make me wish i lived there instead of VA  seems much nicer,0
375,100up2it,On my way back to the small big city of Hawaii  wish I had more of a vacation  I ve reached 200 updates  Yes  well  now it s 201  @desikitty45 nope   booo  there re too many people trying to get it so the server shut down  on apple s side   ahhh  dying my hair  got my new glasses  no iPhone ,0
415,1067KISSFM,All you people talking about the NKOTB show last night made me wish I had goooone      Colleen,0
572,1248wjp, sigh  my @ubank USB died on my this afternoon  R I P  you will be missed  I hadn t even had the chance to parade you around yet  I served Suzy Bat @seattlestorm @wnba at work at Syd airport today  I wish I hadn t been so nervous to ask for a photo  Regretting it  I served Suzy Batkovic @seattlestorm @wnba at work at SYD airport today  Wish I hadn t been so nervous to ask for a photo  Regretting it   Watching a live feed of the @seattlestorm game  Best way to start the day ,0
713,1434ever,@kristenstewart9 do u get 2 go cite cing often  love the pics  wish i was there ,0
890,19Nikki90,lush sunday dinner  wish i wasnt too ill to eat it  @TraceCyrus got my first tattoo the other day  a cross on my neck  soo glad i did  wot was your first ever tatt ,0
911,19forgotten,wish i had another day to recover from three events in three days and a packed monday  so 4 by 4  wish i was seahorse watching     ,0
942,1BEAUTIFUL_DIVA,@DwightHoward I wish I could bring my father back  Or a free education 4 everyone that make  lt  250K  Since u can t raise the dead    lmao  I m experiencing 1 of the most lonliest days of this year and my life     I miss my dad so much  oh well i spend time with some1 else dad,0
981,1FabulousDiva,@LadyLTattoos Man  I wish I was in the D so we could hang bcuz Im in Chi in the same boat w  nowhere 2 go ,0
1005,1Jayde1,still can t upload my pic  wish twitter would fix the prob Where is summer  It s sooo cold here ,0
1035,1MartyMcFly,@remymoore wish we hung out like the old days  Excited trueblood  entourage  and weeds is coming back in June  sad life and times of tim isn t  @bsalais thanks for not hanging with me tonight  hopefully I survive tomorrow I m kinda scared  Better call Spartans for back up  I really wish Lupe would drop his new album already   and whatever happen to the crs album  Lupe  kanye  pharrell  ,0
1097,1TobyFan,jon and kate is so sad   I wish they could have worked it out     ,0
1234,1jekisa,@TraceCyrus YOU AMAZE ME  i wish u and the band were going to be at warped tour ,0
1276,1muatime,on the plane to get back home  wish my stay was longer ,0
1277,1myk4u,i wish u would talk to me again     ,0
1331,1rho2nv,My wish came true  Got away from the crappiest job ever  God works in mysterious ways   Time to hit the gym ,0
1413,1xDanceGirlx3,my biggest wish is  that i meeet you  But i  m so sad  because i nerver meet you ,0
1584,24Jessica,oh everyone is going to sleep  how much i wish i could  its only 4 45pm  and im @ work ,0
1624,26Beautiful,I m so tired of not being able to talk   I feel fine ish  Except that I can t talk   Oh how I wish my friends would visit me  A bouncy Addie is a happy Addie  ,0
1626,26Neil,  I love camp fires  I just wish the kids would try a bit harder to sing along    I don t feel very well  Could do with a hug    Still ill  and sleep doesn t look like it ll happen any time soon    I love camp fires  I just wish the kids would try a bit harder to sing along ,0
1746,2atsea,WOW  What a wonderful birthday morning  Do wish the fog and drizzle would go away though  No mail for two days again  @oldweiler You re definitely my boy    ,0
1852,2maraA,@Kemari mad isn t the word    disappointed I have to wait  My imagination is running crazy circles  I can t wait until the next season  @jmstro great stories this week  I wish I would have had time to participate ,0
1861,2muchcoffeekid,omg  I wish rodents wouldn t crawl under my firewood to die  Hope I don t stat a mouse flu after coming in contact with those germs    @triplejsr A little  Chair Lift  tonight would be muchly appreciated ,0
1870,2ndclarence,I wish I was at the parade in LA today ,0
1875,2nessa188,@joeymcintyre Wish I could be there  Wanna fly me out  ,0
1884,2pacalypse,Laying in bed cuddling with my kitty watching The Golden Girls  Wish my baby was here   @ Wren  She s a sweetie all of the times I have spoken to her  ,0
1908,2sincere,wrk is 2 busy 2day  @Franknitt wish I could ,0
2021,31Nate,is again working but theres no sun  wish Lisa was here     is doing some work before I go teaching    Man its a great day  ,0
2111,3Childs,@MichaelAMejia Wish we had some more of that ,0
2187,3XE,Just had lunch and now its back to the grinding stone    Wish I could be at KKNK ,0
2219,3amepiphany,I really wish that @thisisrobthomas Was playing the last day of the Fall Frenzy  not the first  I can t take that Friday off   @trohman I actually do laugh out loud quite a bit   @GuyRipley Grammatically it works  I guess   @ThisIsRobThomas  happy anniversary   ,0
2241,3cheerz,is watching the episode of Degrassi where Manny finds out she s pregnant  @rickyxfuller wish I could  @FreddyGipson I wanted to see that  but parental controls have kept me from doing so  Same thing with South Park ,0
2298,3liv82,I wish I was tubing rt now   Hope u guys are havin fun    I m here at home being sick  Yup I m having fun too   My legs hurt ,0
2360,3ree6ixty,6am flight this morning  just landed   Still drunk wish i had a lady friend ,0
2388,3thirteenstar,@jlevantmusic OHH SHYT     wish I was in NYC to hear it  @gbmillz2008 I kno    I m a prime example ,0
2434,41y5544,@Richardgia you suck I wish I was seeing Dane Cook   ahhggg i have to paint today  i m so tired and sick of everything  and Maegan s not coming over to help me  till laterrrrr ,0
2448,427,Blacksheep is this weekend and I m super excited  I just wish I had money to spend to buy fibery goodness  25 hours until 25th Annual Putnam County Spelling Bee ,0
2464,44inarow,@TexasFella68 I agree    glad I have a job  just wish I was from 10 to 2 instead 8 to 5 ,0
2492,49ermc,@TaraLynnFoxx  You are AWESOOOOOME    Good luck in the suckoff   I wish i was there      ,0
2499,4Chinx,@gpr1992 haha     i wish        but office will only give me one   our suppossed Tree Planting activity in Norzagaray  Bulacan was cancelled because of the rain     now we have to re sched  ,0
2549,4SeasonsCreate,Wishing the rain would stop  I don t think my wish is going to come true today   @larue777 Congratulations on passing your test  We should go out and celebrate   ,0
2605,4ever314,wish me luck   job interview 2day ,0
2631,4ftershock,finally talked to      well text talked lol to my ex s step dad my son is walking now     i wish i couldve seen his first step    ,0
2706,4theloveofHER,Wish my lexi was in ATL  Would be having so much more fun  ,0
