,username,tweet,cluster
44,00mony00,ahh   Today I woke up at 6 a m   i m soo sleepy     @aly goes rawr I m sure that there will be a party for Zwinky    unforcenatly I won t be here to see it  @mlittledevil77 yesh    I am sterssed right now   but I really want that song ,12
97,03reeda,I really dislike early mornings  x,12
127,06Di06,had best get revising over da weekend got an exam on Monday for 2 hours         is really stressin bout exam 2moz and ideas of how not 2 stress   please help  ,12
158,08neon,going with my cousin to get his fitting for his tuxedo for a sweet sixteen  very excited   @marrrxx your pic is really awsome i wouldnt be able to do that ever  @VanessaaHudgens i just want to say u are my fashion icon  ,12
215,0_oSamantha,@Bekah96 Bekah  I m SO happy that you got a Twitter  I REALLY wanna see you  Are you coming to Alabama this summer    HI        ,12
270,0mgITSkathleen,I don t wanna go 2 skool  i don t wanna take the final  help meee   I don t wanna take the chem final today  its gonna be hard    Bored to death here in 2nd period  Practice at 10   Uh  no     to sleepy  I really need to sleep  but i can t  i need a teddy bear   I am really not sleepy at all   i m bored  fell asleep really late  woke up really early  not good leaving in 30 mins  is goin to practice  My damn phone keeps waking me up  always vibrating when i m falling asleep  ,12
503,11shoe,i am hurting really bad from my sunburn  ,12
608,12hrs,@andyroddick I ve been reading your twits from RG  I m really glad that seems you re quite relaxing  I ll be rooting for you  ,12
698,13trini13,@mitchelmusso i waited for like an hour and i never got to talk to you  2mileycyrus my chicken miley died yesterday  even though its just i chicken i really miss her and how is your ear are you ok now  @mileycyrus my chicken miley died yesterday  even though its just i chicken i really miss her and how is your ear are you ok now  its summer  im leaving sunday to go to the springs  @miley cyrus that is a really funny video if you have time can you tell me what day the mtv movie awards come on  wow hannah montana is on like one after the other    AWSOME   @billyraycyrus i just thought of an awsome idea make a song called can i get an amen cuz you always say that do it for the troops  reply  just got back from the springs i went for a week  i started to have a country accent because everyone had one lol  im watching hannah M ,12
729,14WONG,should really study ,12
748,15_ddlovato,@ddlovato yogurt its really god to your stomach and body  helps you body to increasy defenseas and kill antibodies ha ha ,12
780,16thharrogate,Advanced party is leaving Harrogate  should be at gilwell for 5pm School assembly at Grove Road went really well this morning  Let s see how many enquiries we get ,12
