,username,tweet,cluster
27,00bevan,Back at work today  Hehe  Could moan a thousand times but it s all getting a bit repetitive  Instead  I m going to appreciate life  ,7
39,00liisaa00,going to rhineland tomorrow ,7
94,03SS,its official    GM is going bankrupt  Wow   What a Derby  So much fun  Hope everyone feels the same   Lisa  you missed it girl     Theres always next year ,7
121,05h,Going to flea markets across the land   Found a replacment NES  ,7
169,09MikeBrown,Going to a graduation party in farmington ct    ,7
430,10Timelord10,Going to go watch true blood yay for a new season   lt FoUrLeAfClOvEr gt ,7
489,11Skyler11,Going to the zoo @cbelsea and Alex   EXCITED  ,7
563,123khrystina,Going to work  This is going to be a long day ,7
582,12ClaudiaC,I don t want to go to school  I hardly got any sleep  I always love going to the airport arrivals section because no matter what s going on in this world  people always look genuinely happy  ,7
610,12id,thinking of going to relax for a while    then continue worrying  I m taking the first step   finally ,7
669,13habits,i can t wait for tomorrow   i m going to be soo productive ,7
734,14aviran,  Today I made my own coffee       now I am going to starbucks ,7
744,15AMR,I m taking my wife to Wally World to buy MORE stuff for her damn classroom     I m broke cuz she got all she wanted  Going hoe finally    AMR  @babiiluv23 do you miss me 2     I m broke cuz she got all she wanted  Going hoe finally    AMR  @ superstrclo19 all u have to do is not get grounded for anything between now and then    AMR ,7
756,15steve,@Jennifalconer was just asking jen i read your tweet saying u was going to tan that was all ,7
804,180245831,going to spend the rest of my life happy with Josh by my side ,7
815,182dany,one day no twitter  and i feel like i live behind the moon  watching mcfly live dvd  doing homework  ate a pearl  want chocolate  drinking cold tea from yesterday  sore throat  have to write an essay     what would dougie do   morning flea  sweta will be here in 1 minute or something  got my hair done  purple again   we   re going to the sea today   amazing  going to see 5 concerts today  i  m looking more foward to the support bands than to the real show  going to leave at 2 30 i guess  back from an unbelieveble concert with 4support bands   met some great people and listened to great music  bed now  immediatly ,7
829,18modelrockets,I m going to actually pack now   Austin tomorrow   ,7
833,18unitsjodi,is going outside to revise a bit of lovely cold war  ,7
869,1991_Sophie,is going to help mum decorate the dining room soooon   promise   ,7
898,19Wanderlust89,is going to the mall  is driving to greensboro at noon and flying to orlando at 6 ,7
947,1BtfulAtrocity,@tdawson  work  Like usual  It s my normal weekend activities  I m not into going out ,7
1023,1LiteralLady,@sweetaddictions My feelings are hurt  cry  I was in there for 3 hrs  pokes out lip  i guess i left b4 you said about the email  Woke up early   Dang man I know i m not going back to sleep  @Dannaca Lynn Oh    Sorry about your loss  Going 2 the ER  My hubby don t feel good  ,7
1088,1SultrySiren,going shopping   gonna hit up the stores as soon as they open     open open open,7
1139,1asstorisk,Going to San Antonio for the weekend ,7
1464,20eliza10,Decided that he is not coming  I am not going to make it to FFH ,7
1500,21VanessaTorres,me and celinda are going to jail tommarow  we stole a balloon from a lil kid,7
1515,21ten,#asot400 lmao at mr sam  think of the sly dig at the track he s playing now and with what s going on right now  ,7
1625,26Dragonflies,Very sad about our stray kitty    Going to comfort myself this evening by cooking up a storm and stuffing my face  vegan lasagna  Spending mothers day with the fam  Eating in rather than out  @SmallWall I recommend the Smoked Cheddar  YUMYUMYUM  So stoked that my local Chinese restaurant carries Everything tofu  Going yard saling ,7
1644,27watermelons,@MiniPurlz sorry to hear about a funeral  it s hard when he s teething   my back hurts   maybe finishing a sock will help    good news  sock is coming along nicely  Bad news  it s going to be too big   thoughts   so I guess I m not a ninja   poor @kombucha kitten  sunburns suck   and poor @deltafine  ear aches suck  I m going with the folks too  so it will be more fun   We will definitely be using the stroller  No touching  ,7
1771,2can_stan,regrets going to spokane for the weekend  #fb,7
1868,2ndChanceSaloon,@alisoncuomo We just heard it too  We re going to start drowning soon  SUNDAY   5 Bloody Mary Bar and Half Price wings all day  Wooo  get in here before the rain starts ,7
1910,2spacecandy2,Had a long day  I need to go shopping  But I don t have time at all  Any plans for this weekend  I m going to Tokyo  YAY  I can t wait for shopping at Forever21    Gonna have a girls night  maybe  ,7
1914,2sweet4suga,@ImaBoyd I can t today have to much going on at the office plus i had it yesterday already   2 4 you are going to be an ol  LADY,7
1995,30superman,no MMVA wristbands from this weekend  but I m still going maybe I ll get lucky and end up back stage  XD,7
1997,310chelle,Spent the last hour going crazy looking for the digital camera and Myles had it all along  Arrrgh   Rasputia is on her way back  Arrrggh  The last hour will be torture    ,7
2014,313anor,is mad awake and going to the parade ,7
2020,31Migo,I want orlando  Going to work soon  Okay so pay day today    Even though I have to pay the whole phone bill b c my dad went crazy yesterday ,7
2023,31_Brady_31,Going school tomorrow  say goodbye to all my friends   But  were gonna have a water balloon fight and a BBQ and bonfire tomorrow night   I m going to bed  I m beat out after today  had a crazy water balloon fight  Best last day of school ever   Going to miss everyone  ,7
2034,323all4u,i am still at work on friday   95 29 09      not much going on here    ,7
2149,3LL3N,@kiarastack working saturday  might try change shifts need to get away from that place for a while really cant be fucked doing work  have to drive to woolwich at 11  wondering why only me and ivana are in this room right now   everyone inc  the teacher went to get tim tams  @peteempire @kaleempire @samempire @jeremyempire episode 2 is awesome  you guys are amazing  @karlcandido i cant believe you said that karl haha  twitter will always be fun  @karlcandido im going to chime haha  my dad owns the pub and its closed but re opening in a month  kate is going over her speech  im not listening  its wayy better then mine anyway  going to get McFlurries even though the brakes aren t working properly in my car but oh well  got mcflurries with sarah and yvette  broke the speakers in my car  have no motivation to get back to school work at pink with kiara and ivana the lights went down  faker just came on ,7
2207,3_tig,is going to the Go Audio signing this afternoon ,7
2236,3bworkshop,#twalk  its all going very well  trainers are knowledgable and whats more important its FUN ,7
2261,3dwardsBella,possibly going to see  drag me to hell at brunswick cinema at 2 15 pm  ,7
2423,40shadesofgrey,epic writing fail  ew  going to try and sleep  how is it 3 30 already    I don t think I m going to be able to watch Pushing Daisies tonight  and that breaks my heart  noooooo fail whale  I hate it when I wake up way earlier than I need to  gahhhh why am I not sleeping  clearly  this burning has impaired my typing ability  why do I always read comments on things that I like even though I know most are inevitably going to end up being negative  I suddenly miss Ithaca something fierce right now  @thisissirius oh  honey   hugs you big  not that i have anything against Spike Lee movies  just was NOT in the mood tonight  resisting the urge to say things I m going to regret later on  @owlivetree it s harder than it seems  @sarahjc87 it s so tragic  @laerwen I ll try that  thanks  also  there was a lady at the library that reminded me a lot of @regala electra  @impalalove sounds tasty ,7
2428,411Pinky,@S     yall going to the movies ,7
2430,415Raechill,flash is going mobile in October on most platforms   except the iphone  that is  apologies to you  fans of steve jobs  ,7
2474,459rekordz,Going 2 watch shawshank redemption ,7
2552,4StephFinally,Going to party without him and it s just not going to be any fun   Miss him,7
2660,4majeed,going to college  Eden of the East     @GreenStorm So much in one conference ,7
2663,4megan2morgan0,going to the fine arts museum tommarow to see the andy worhal thing thats happening  ,7
2840,5_dollar_shake,@jennyroseryan I think it s our turn now  Unfortunately  with Sindre going back to school in the fall  I doubt we ll be able to afford it ,7
2913,5thStreet,Giving @pdrowland a mic   service going long     @JesusNeedsNewPR    OK  I judge you   ,7
2964,65VDub,Spent the morning on the roof  When it rains we find the leaks  Going to eat cinnamon rolls Sara made  and go to the beach  ,7
2998,69mb,@karuoro ditto  I m not even going to touch season 5 till the finale shows ,7
3056,6thMann,@bethxness my brother is going to cal next year and he was at CalSO so i tagged along for part of it ,7
3059,6thheaven,soon going to work  sun is shining but my motivation is gone  lol   btw GO FOR IT  @peterfacinelli you re so going to win this bet   P,7
3115,74shoreline,but gob DAMMIT  what i wouldn t give to cuddle right now  @Cakerzz because it was sad  going to the dentist has never been a problem for me  but physically dreading going tomorrow  because i know they ll find another cavity  good morning  twitterverse  why am i up this  quot early  quot  because i have to go get two cavities filled  booo  i could watch the mtv movie awards tomorrow just for andy samberg  mmm andy samberg ,7
3181,7cookka,@struasheim I feel you   I have business law at 1 30  going to diiieeeee Is in the shit   ,7
3186,7deacons,@treocast Are you jealous    @sleat I m guessing  but I think you re going to find it hard to return to work   @cubicgarden Any power supply problems  ,7
3314,86_Nicole,Bowling  when I m done with our game I m going to go workout ,7
3318,86therest,on the n going to work  2nd week and meeting new interns who r starting 2day   cant wait ,7
3320,87213363YourMum,hopefully going out with chloe later  yn  up to kelly though  probs not ,7
3550,99pounds,18 mile ride to Sausalito and back   Considering going for a short run ,7
3559,9Toni83,@asajkp Awesome  You are not going to be able to put it down ,7
3567,9dragonslady,@michaels feed thanks  Michael   hear you ll be in town Friday  @karencaseysmith how s the party going  ,7
3594,9th_Centre,WTF is going to transfer to Ahern   That was more to myself than anyone else ,7
3775,ABelovedWolf,Wishes she still loved him     Because you said you weren t going to be there one day  ,7
3800,ABruce33,Tomorrow i m sleeping in  lifeguarding some childrens  and then going to nashville to see coldplay  It s going to be a fantastic day  ,7
3888,AChubbyGirl,bad start to day  cereal  80   chips   200    Now I m going out for a run  though ,7
3904,ACoupe,Ohhhh shyt i foung my Jeezy vs  Rick Ross Mixtape  its going down    at the desk     Im ready for the weekend and its just Monday  On the way to the mall  at least this time the tabs not on me  to bad were going to gboro s wack mall   ,7
3931,ADDluvzcows,Going to sleep after finishing my homework   Ugh religion unit 4 review so annoying   ,7
3933,ADEATHEATER,I am at home cleaning and it looks like it is going to take all day   I just cut one of the best baseball guys I know off of the Ceres Coyotes   it is a sad day in the Coyotes Nation  I am all most home  And am hoping my farm is still okay  I have not checked it all day  I is going to be sad if I lost some crops  I am going to oil my boots and maybe have a beer  I am bored   I am watching Harry potter with the kid   I have a bloody nose and nobody to kiss it and make it feel better  ,7
3974,ADUBSthoughts,Today and tomorrow are going to be STUPID busy ,7
3994,ADoggPerson,@ClaytonMorris Thank You Clayton  Going to my favorite Greek Resturant after church for mom s Day      Loved you on Huckabee ,7
4117,AGreear,Bummed plans didn t work out for the evening  Frustrated why don t people answer there phones  Yeah 7 hours of backing up to send away Todd  my Mac  to get fixed   Man I really am going to miss prayer times with my best friend @michaeldsanchez  Its awesome when God speaks the same thing to both of us Going to the final Third year discipleship  then off to bowl and eat ice cream with the #GTAustin Staff the @GT20mobile Great day,7
4162,AIESECVTU,Conflict Management Training   today  thanks to Felipe  We re going mobile here in LC VTU ,7
4193,AJ3310,chillening going to do some chores soon  fun  N ,7
4244,AJQ_10,@twicullen Yeah  Spike is hilarious  I m going to lunch now  are u going to forgive me for that too  ,7
4252,AJSalty05,is going to have ANOTHER day of revision ,7
4299,AJonesWong,@Nef Davis you got good taste  going to the bbq ,7
4305,AJthePurple,About to embark on a 7 mile bike ride  Looong day    AJ sleepy  but still going  @rebelmonkey add some chocolate and it ll be more fun ,7
4432,ALIFLYNN,going to make a glass piece and then lie in the sun ,7
