,username,tweet,cluster
167,09BabyGurl,Graduation here i come  Gettin my hair cut at 1 in the morning ,18
193,0Frank,@Iczey How are you this morning  ,18
208,0StacyLynn0,loves how amazing her satin sheets feel this morning    too bad I must part with them ,18
212,0_Jacqui_0,enjoyed her early early morning run  and looks forwards to power kite flying later  ,18
346,1000heads,Monday morning  sun is shining  and new emails in single digits  Life is good  Another day  another sun drenched morning running away in a flurry of email and bananas   yes  mornings round here are THAT fun ,18
348,1000n,ok  maybe somo energy   good morning weekend twippl,18
395,101randomwords,my mummy fell down the stairs on Sunday morning and is now stuck with a hugely swollen knee and crutches ,18
620,12sunflowers,Hoping this coffee kicks in quickly because I m so not a morning person anymore ,18
821,18Cinderella,Good morning afternoon evening night  it s raining  xoxo soo tired     a lot of work  xoxo want some ice cream  xoxo,18
883,19Benjamin89,is going to have a productive morning   ,18
912,19gayguy91,at school  hope today is a good day  Ugh  I m gonna cry  So cute  I love Miss Congeniality 2  Good Morning   work later  Right now   gt TV,18
1066,1RAREDIAMOND,Good morning everyone   have a wonderful and productive day   headed to the office early   so that I can  leave early   @AlwaysDani Wake up Lady   it s still early  ,18
1091,1TIFFANYNICOLE,GOOD MORNING EVERYONE       DID U ALL HAVE DREAMS AS SWEET AS ME  ,18
1093,1Tamrin,ok somehow just read the morning twiiters and now I have to go do my hair  I have to work today  ,18
1103,1VirtuosoPoet,Morning y all feeling hella energetic ready 2 conquer the world  ,18
1201,1flashash,No not yet jez think I m gonna get an exray tomorrow morning mate  hopefully be ok    x,18
1379,1taparoni,@LanceGross ah  u got the morning after syndrome i c ,18
1483,211Lisa,   3 great friendships i lost on facebook due to friends trippin off of drama  and i know alot of it  wasn t my fault lol  not all of it  mmm i got some chocolate cake twitta    What u know about dat    bout to finish this  worship our holy God  practice amp then i m out  night  morning twitter   Good morning love  Have a good weekend  Lord just one thought of you  then i know it s gonna beeeee  A lovely day  lovely day      the just shall live by faith   as written   ,18
1558,23catnips,@chinhualu36 awww  i thought about that when i got on facebook this morning  i thought i dreamt about the handbag  but it is still here ,18
1567,23wen,Good morning  everyone  Lets twitter   I just came from my sister  Whtiney graduation  I so proud of her  She is going to college  You go girl  ,18
1595,24karatz,goodmorning twitterloves  good morning twitter ,18
