,username,tweet,cluster
21,00Lucky00,I m off to have dinner then going work  lol x,49
77,01xxx01,back to work after 3 days off ,49
84,023nick,gonna work on the movie again    ,49
85,0277731446,i have to go to work soon ,49
144,07chevycobaltSS,at work and exhausted        is on my vacation week     and is wide awake      I still feel like shit      amp  I m at work again       txtmeeee,49
253,0ilyct0,Woke up like  20 minutes ago  It s going to be a long day    Work 9a 4p today  Work in an hour    til six freaking o clock   I already feel sick  Just wait until after nine hours of work     SSLLEEPPYY TTIIMMEE    Work in the morning   Long Island Iced Teas  lovelovelove  BED TIME  WORK IN SEVEN HOURS   I m totally getting GMPD s CD    WOO  And oh  yeah  I have to work today   I DON T LIKE THIS  Bed time  Work in the morning   Haha  I just noticed I spelled  quot sales quot  wrong  FAIL   Haha  I just noticed that I spelled  quot sale s quot  wrong  FAIL   Still in LOVE with Dreamscape  Bed time  Work in the morning and I can t wait until it s over  Tired of work this week with no AC  ,49
440,10fenix01,Another weekend comes along which I have to work ,49
595,12annesylle,i miss my boyfriend even though we just finished talking  i m still here at work   all alone  My body is hurting from riding all those crazy roller coasters at busch gardens yesterday  going to work   ttyl  ,49
625,12velectronics,work tom ,49
730,14_10_2004,Is soooo hungry  Hardly eaten today  20 mins til dinner  Hope I havent starved to death by then  I dun wanna go to work    Is sulking now  My tummy rumbled and it scared the puppy  Given up on english speech  I spose Ill try again tomorrow  Is NOT looking forward to going straight from school to work  First night of my guinea pigs living outside  Im worried about them   Wasnt on the net much at all yesterday  Work today though  3 9am starts in a row  Will be at work in 12 hours  Is awake and having breakfast  Work soon  And will be doing the same tomorrow morning  No sleep ins for Britt  I wish I had a tuk tuk  10 30 sleep in  Not bad  Could go for a nap later  but probly shouldnt  Work at 4 30  then school tomorrow  And my nets fucking up  S Slept for    13 and a half hours  Best feeling ever going to bed and not having to set an alarm  Should probly be doing my speech  seeing as its due monday and i wont have time to do it tomorrow  but too busy with too  gta4 and chips  MSI puts me in the best mood ,49
884,19Brian74,Sitting at work I have to work today and tommorow bummer   did nt find out till yesterday about 4 30 I had to work all weekend ,49
974,1Evo1,On my way to work     On a Saturday  Sad times,49
1009,1Julee,Back at work         but its sunny outside ,49
1256,1magine,back to the real world  sooooo tired    listened to a very loud thunderstorm all night  I am dreading going to work today  paper work sucks and I am over it  Make the rain go away  feeling the pain from being on my feet for so many hours  happy June   Only 17 more days  only 7 and 1 2 more days ,49
1455,20QTpie12,good work out today   Lebron and the Cavs put in work   time to shower then bed work @ 7 30 am    zzZZZzz,49
1506,21nancy,Good morning tweeter bugs  Hoping to have a great day at work even though im going to be stuck there all day  Time to call it a night  Back to work tomorrow ,49
1545,230509,is sitting in work wishing I was out in the sunshine     ,49
1633,2706holmes,Got work soon ,49
1647,285ml,Not happy  Everyone is going for ride tomorrow I m stuck @ work ,49
1834,2key,ill     but at least I ll get some work done    ,49
2028,31sweetgirl,I am still at work ,49
2116,3DSUB,To much work    Not enough time to play ,49
2275,3headzahead,work sucks ,49
2309,3mcclaingirls,Hey people   Lots of work today ,49
2363,3riplespank,@starpollo thanks but it s not working yet  @girly scribbles leave work at work  @starpollo you could leave me one spoon ,49
2481,47BADST09,on my way to work ,49
2540,4NTK,Going to work     in my new car ,49
2625,4faintsunrise,ok goin to work now  for only 4 hours  then study some math and crossing my fingers I wont fail   OMGSH  MAC has updated their eye shadows to  17 60         The hell I am not buying their e s anymore       well y all know me soo    URGH     I STILL HAVE A COLD    it s worse   didn t go to work have a hard time talking ok up and out to work and back home and now I m going to sleep  that s pretty much my day     hehe tomorrow will be the samt    night Twitpic doesnt work in my phone   want an iphone back from down town  met some people I know but it wasnt that fun      no drinking cause I have work tomorrow   I NEED to party    @TiffanyLD honey you can rant as much as you want   I wish I could be there to hug you   hugs    that will have to do    @faintstarlite aww thanks  it was great    it was specially made designed for me    I m in love @juicystar007 do a style warriors thing    zebra one and the other thing on you toes  @NeonLipz what   it s loading     @allthatglitrs21 she has got beautiful hair please tell her that  and she sings well ,49
2884,5ironeagle,Is about to leave for work ,49
