,username,tweet,cluster
36,00kate00,arrrrhhh  i did it again i past 100 and now 200 i was gunna say it was my 200th update but i didnt get to again  i wanna go see jason mraz in concert now after seeing him on rove but its sold out  thats was the fastest shower of my life  somebody kept turning on the water and it was going cold  its been pouring with rain for 2 days maybe we wont have water restrictions after this rain i hope so  nick is such a stud muffin ,6
171,09MothersDay,wish we could get RAIN HERE  I hate it being so dry all the time   ,6
209,0_0BiteMe,is sittin down and is hatin the bloomin rain ,6
279,0ne2c,not excited to be back to work  watching it rain again and beginning to wonder if summer will ever show up ,6
301,0per4t0r,a mourning dove that was nesting in my rain gutter went away ,6
322,0wonderbunny0,@zappagal the trip sounds awesome  I wish that I was in CA  nothing but rain here ,6
360,100_Percent_Me,More rain and hail  it might as well ,6
398,102757,just finished eating crawfish   now watching it rain ,6
588,12TATI12,rain  oh well goin to the spa to get pampered ,6
632,1325NY,Rain again  No beach  laundry  ,6
736,14emily,i think its suppised to rain today  ugh,6
803,1800mytuxes,@FashionGrail Do you have all the sun in Florida  Send some to NY  we re drowing up here in rain    ,6
886,19Diana95,what a great day  dirty shirt  gossip classmates and rain   ,6
1060,1Pretty1,So glad the weather cooled off in KC   The rain came  Tossed the umbrella away and played in the rain    No water balloon fights today ,6
1081,1Simran,i feel so full up  rain rain go away  i don t feel so well  oh i m so tired  and i hate history I have to go do some stupid physics now  i hate science         @patmaine It s 1 in the morning here in England and nothinggggggg  What happened to James Blunt   ,6
1213,1gor86,Rain again  all day  and this suppose to be the first day of summer ,6
1392,1u1a,Going to see No Doubt and Paramore tonight with my sister  hope that it does not rain ,6
1486,212cox,bye bye rain   good morning sunshine    ,6
1559,23gemini,flippen rain flooded the carpet @ my crib ,6
1666,2BNatalie,Grocery shopping mixed with rain       not fun ,6
1706,2Lil2L8,Rain    Rain    Go away    ,6
1850,2luvlyAlexandra,loves playing tennis in the pouring rain  ,6
2096,39544life,RAIN RAIN  go away   wish it cud stop rainin        ,6
2177,3RiversArtsFest,@PittsburghFdn For the 1 000 000th time  we have no idea what you are talking about  Rain  Festival  ,6
2192,3_Blind_Moose,No fishing   this weekend  bummer   Rain  rain go away @ least on weekend    Thank you iFire for letting me use xFire on my Mac  What goes around  comes around   Right LEAPgamers   Indoors again today   Line dancing to amuse Extras is hard in Birkenstocks ,6
2268,3freebees,bloody rain ,6
2274,3greenpeas,On our way to have a family photo shoot and it is POURING rain  ,6
2346,3rblogging,so  here comes the rain again  yay  ,6
2511,4EverAngelique,Looks like rain today        @LadyShottaJessB im sad   I wasnt invited to the shindig yesterday     JK,6
2802,56kitten,Good Morning Neverland   Rain here too ,6
2878,5hawnB,in bed with a double cheeseburger  tummy ouchy though  Rain rain go away  Is fucking JUICED    Watching a scary movie  @jh3y thanks for waiting  you re a sweetheart ,6
2886,5james5,you re never too old to play in the rain ,6
2961,64fps,all wkend plans cancelled due to rain ,6
3084,713Maria,Bbq so good  rain rain go away  ,6
3195,7himanshut,no electricity  no rain  and garmi    #fb,6
3234,8020shoes,kind of sad the flea market is almost over  Pretty sure the rain knocked out our internet here in the studio ,6
3298,83anastasia,Is in bed listening to the rain ,6
3395,8bit_ben,In History lesson  rain   raining down   rain  i m up  and i found my headphones  @KatieHannah93 thanks  nope nothing much  made a couple of message bots though  ha  you doing much  update time  pom bear time ,6
3606,A009,Is very jelous of my 3 best friends who s going to sun it up in Bulgaria later today  while I m stuck in the rain   Is not v well ,6
3714,AB6609,Oh look at that  more rain  How great ,6
3764,ABartelli,Rain again  I am moving farrr away from NYC  the weather has been horrrrribleee this summerrr ,6
3770,ABeautifulLoser,The rain is so freaking sexy  I cant explain my love for it ,6
3815,ACCarter,celebrating my dads birthday tomorrow with a cookout tomorrow  hopefully it wont rain ,6
3827,ACE_W,Just having a barbeque when it started to rain   So filling in my visa application for Uganda instead  ,6
3951,ADMCDOWELL,Another day with parents today   with rain   @JulesTheAuteur UNO is a game beat played ALONE  ,6
4039,AFLUCK,@rbarboza83  You deserve it  my friend   And  don t bother about the rain   it s so much more here than there   ,6
4055,AF_Girls, Kelly  going back to work      Kelly  rain  rain  go away   come again another day    Nina  just got done blogging my thoughts on last night    Now lying in bed with theraflu   Kelly  slept for 11 hours  WOOOOW  I m well rested  ,6
4227,AJLeng,what a shitty day  sooosooosooo much rain and no one to cuddle in bed with ,6
4797,AOKayla,Out canvassing for NYPIRG all day in the freezing cold rain  Finally dry with a cup of tea   Wishing I was going to Starscape tomorrow  work cancelled due to rain   CAN THIS PLEASE STOP First time out on the water this year  I m pumped ,6
4850,APlus4,Going up to make dinner for work tonight    Most people don t like the rain    I LOVE IT   I just wish I was staying home ,6
5039,AS_dirt,My 4 newly seeded lawns are LOVING this rain ,6
5045,ASchilken,Whats up with all this rain  I feel kinda gloomy ,6
5081,ASzczepanowski,My car broke down and now I have to walk to work in the rain ,6
5514,Aaron815,something a bout the rain in the summer time turns me on     ,6
5610,Aaron_Nelson,my pics are not showing up    finally  a little rain   too bad i m caught out in it with no umbrella      ,6
5728,AbbeyXIX,Rain is back    Was a great morning and afternoon  sh#t evening   ,6
5855,Abbyabster,is not v  happy about the rain              it cancelled my rounders match  boohoo,6
6256,Acey85,is sick of this bloody rain ,6
6383,Ad_Wood,srub the sunny  By sunny I meant clouding over with a good chance of rain  No BBQ for Adam this weekend ,6
6434,AdamCSmith,See ya on the beach  Rain gear in tow just in case  And sun screen  ,6
6527,AdamPHaydock,is depressed by the rain  is enjoying his Friday morning ,6
6808,Adework,waiting for the rain to start ,6
7068,AdriannaLeServa,thinking of everyone whose loved one s were on that Air France flight to CDG airport how awful  enjoying a lie in  listenting to the rain ,6
7299,AfanFM,is playing summer anthems    in the rain ,6
7371,Afshah_,rain makes me unhappy ,6
7510,Agilesmusic,@velmadaria U know we Love you too  p s can u send some sunshine to the east coast    14 days of rain ,6
7732,Aiirekah,At ballet school with the brat   Haven t been here in a while   rain rain go away   ,6
7791,Aimatme, I need to study harder    Don t rain on my parade ,6
7797,Aimee279,Going for a walk with my Daney  I hope it doesn t rain ,6
7902,Ain719,So sick of the rain   its making my students very cranky,6
8144,Ajpellicci,It would rain the first day the pool opens ,6
8146,Ajruggs,I dont like rain  and i smell toast,6
8701,AlejandraBustos,rain   a song special   A memory of you in my mind    Ups   You and me forever ,6
8714,AlekaSmith,SCARED SCARED SCARED BY THE HEAVY RAIN ,6
8806,Alex10987,@JasonBradbury I am so annoyed  my TV is playing up and Channel 5 is UNAVAILABLE    URRRRRRRRR  Annoyes with rain cause i cant golf    ,6
8889,AlexDavies09,Last night in DAYTONA  Out at Cruisin and then the Arcade On my way to Wrigley for the CUBS sox game       Rain rain go away  I Guess the Sox were too scared to play us    Game cancelled ,6
8941,AlexHughes123,Got to drive to Manchester in the rain in a bit ,6
8961,AlexKart38,@BillMaverick alright ae  pouring down with rain outside  oh well  school tomoro ,6
9039,AlexRiley97,Is studying for exams    Ohh yay Funn  Hate s the rain ,6
