,username,tweet,cluster
16,00Desmond,Here s a sign that I m getting old     I went to bed 3 hours ago and now because it s raining  I can t sleep ,48
291,0oLucyo0,Its raining  Can t wait for Harry Potter 6  ,48
1304,1omggirl,well you guys i have to go do some chores bye  @DMDAProductions awsome                 its raining its pouring the old man is snoring  litterally i am pretty sure there is an old man out there sleeping while its raining   Woah it sure has been a while  i dont know if you guys know this  but    i LOVE to read strange huh     sorry to much tweeting  an idea just hit me  well i am going to TRY to go to sleep good night people out there that are still awake and reading this tweet ,48
1371,1sunrise,Shitty weather today  It was raining the whole night and it s still raining  Just downloaded Frank Sinatra  Nothing But the Best   amp  Queen  Greatest Hits   Pretty different I know but both are great  ,48
1387,1tweety1,@PGATOUR Nice    No chance of me getting on the fairways today   It s raining ,48
1488,214_nerd,damn its gone be raining all week ,48
2496,49x15,Lazy Sunday     just as I decide to get up       it starts raining ,48
2686,4pawsuk,@Pink yeah a bit sunshine in uk wud be nice at the minute coz its raining again  send sum over please x,48
3328,87pages,really sad   it s raining and my bike is outside   and I still have no money or job ,48
3476,926Moms,Still in the middle of nowhere  it s still raining outside and i m still bored as hell   Hope you guys are having more fun than i am ,48
3551,99s,It s raining again ,48
3578,9jessi3,it  s raining ,48
3801,ABuschmeier,kindergarden summer party rockz  especially if it s cold  amp  raining like today ,48
3944,ADKHomeBuilder,@ESHdotcom Good morning from the Adirondacks of New York  Raining here too      How is new home construction in your area  ,48
4737,ANGElRAyELEE,WtF   itS RAiNiNG  amp  pOURiNg O dEE nOw    SiGh  dON t tHiNk My RidE LikES dRiViNG iN tHA RAiN  nO mOviE fOr mE      good ass game ,48
4781,AN_Rastan,btw  today is the official start of winter  and it raining up the hill ,48
4869,AQuietMadness,@jordanknight The pg won t load for me   Simon Cowell  Put it up right  I just poked myself in the eye n it hurts  Its raining ,48
4874,ARC248,Why is it raining    ,48
4974,ASH811,April is OVER  Why is it still raining every day    why do the mice torture me   ,48
5064,ASni13,i got so much sun today in the first day on the beach    and it just started raining   at least it held out during the day,48
5252,AYUNDAHAMZAH,Its raining ,48
5892,AbebeLewis,Mad its raining on my bday ,48
5893,Abedania,8 s raining     gonna buy shoes     @ryan cabrera AHAHA    i thought it was a giant rice cooker ,48
6081,AbraxasBlack,It s raining blossoms    ,48
6772,AdeleinSimone,it s raining outside   I just want sun  but I haven t seen the sun for some days now  ,48
7047,AdrianaRzegocka,Good morning   going to the gym  Have to keep the abs tight       it s raining ,48
7263,AeroxChickx9,bored @ my cousins house its raining not much you can do  @lolixheartxemo i m sure he will ,48
7636,AhmetKirtok,it s raining in new york ,48
8750,AlenaWill,Raining     AGAIN       help      ,48
8907,AlexFlott,It s raining  ,48
9027,AlexPollard,It s raining  it s pouring  the old man is snoring  ,48
9041,AlexRoberson,ITS RAINING   I don like it ,48
9221,AlexanderMaurer,It s raining in Germany  ,48
9237,Alexandkyliemom,It s raining     AGAIN    ,48
9706,AlicanteBouche,Is brrrrrrr  its cold and raining  So much for the Sunday session ,48
9741,AliceGreenhill,woke up couple hours ago an  helped mom in the garden  but then there s started raining   everybody follow #peterfacinelli,48
