,username,tweet,cluster
43,00meEshel00,sitting watching rock and roller  so totally in love with gerard butler  i think he should be my future husband ,27
74,01jain,is distraught finking about peter andre and katie prices split   they were my only hope in true love ,27
129,06ascho,@Dannymcfly Danny i propa love you  your teeth were way white at the manchseter gig    you alreet hows ur other shows going   x ly xx,27
409,1047TheFish,@1047FishTraffic WE LOVE OUR TRAFFIC PRINCESS   ,27
522,12345trn,@JamieABannister i saw you guys yesterday at the charity event  you guys were great  i love your new song just be me   please reply,27
657,13_Morgan_13,@Lore Love I dont know as demons you do it but always the same thing happens    ,27
668,13gogreeen,@TheEllenShow Omg  Ellen I love you  Ur awsm and so funny  You r show is my fav ever  Ur the best keep o making peoples day xoxo ,27
686,13simply13,@mileycyrus oops sorry i messed it up  it s sugar shoes 96 @esmeeworld Esmee I m so happy for ur album  Unfortunately I live in Bulgaria  so I guess I ll never be able to hear it  Love you though  Watching Sweeney Todd  again  Love this movie  studying for my Geography exam   again ,27
739,14thRoad,@Kamranistanco I love your link on your profile ,27
819,18Allen,I love you ,27
1022,1LisAnne,@AmyLynne18 I love you   can t wait for this weekend ,27
1047,1NerdGirl,@blazinglily I Love Star Trek too  It was so much fun  ,27
1140,1audience,@mamastephf hi  I always love seeing your tweets on here   also love that you found amy g  ,27
1215,1gully,@JustinWConway I know I m not there and extremely sad    @brianbrister thanks love   ,27
1258,1maiden4manutd,@esterlyn what a coincidence  I would love to see you too    but I can t ,27
1343,1selenagomezfan,Sutton I love you I am just to scared to say it        @  kisses from Brittney@Love Hamsters  http   twitpic com 6swlb,27
1449,20D_14K,what is love  understanding each other  learning new things together  some little problems  working on the stability      I love my bike  ,27
1493,215KFry,@SherriEShepherd OMG I  lt 3 Roscoes  I feel ur pain I gave up meat4lent and couldn t have Chicken while I was there  @thekatvond I love him  Can t wait for the new album  ,27
1535,22doodlebug,Trolly hop and vodka extra dirty martini s are the greatest   Especially when I get to see old friends    Love it    ,27
1570,2421L,Solange Knowles  ChampagneChronicNightCap    love that song and her new album    ,27
1686,2ELZ,@SIIMPLYBADD09 G NITE I M OFF 2 SLEEP MY CALI LOVE ,27
1761,2bletrble, my heart love and prayers goes out to them during this time  My heart love and prayers goes out to the Cook family  why is it tht dreams affect us so horribly win awake  why cant they stay n the sleeping mind instead of the waking 1 tormenting as well    Im upset  pissed  worried  depressed  anxious  etc ,27
1782,2dabeat,@LiDLo Haaa     I LOVE It    How about a Toronto BF   Heee Have an awesome day Lo ,27
1799,2emc,@PeterSantilli YAY        as all who choose to NOT do right       even the one I voted for this time     Thank You  and follw UR happy Hugs are GREATS   unless touch hurts   then hugs suck  perspective  what a wonderful thing  @silverhuang I MUST update my pic  I have  100     around the  net  finding them all and changing so friends don t lose me    omg LOL  @Admance MUST check this out when I take a break later  LOVE Ikea     Gosh I hope it doesn t turn out they business model Wal Mart  @Uniteu071 not too cool  @williger Spammers just find another avenue  @TehranRadio1 you suck that  TehranRadio1 user   @Twitter @BarbRad You don t think letting people know what they WILL see is something most humans NEVER  want  to see is censorship  RIP  new dead @blogstech If your goal is sales   it s a  new  way to do it  @donovanglass You may be right  Iran does not want nor need  an invasion       #IranFreedom @donovanglass they were   and death still found them sent by their Supreme Leader     #IranFreedom @MarleenKacie May you sleep well in your dreams  @EyeRanProtestr Anti Iranian twit stream  @EyeRanProtestr very scary     fear of the government  Ok   LOTS to do today    so Next Tweet   Last for the day     Maybe      LOVE YOU     Thank you  Live longer  Love longer  LAUGH longer  louder    smile   going on a True Blessing outing later  @wendy575 needs a dollar     6 updates currently     remember the red paper clip  I m a HOA   UR a HOA   Home Owners Association     it is NOT just your BOARD Tweeples  @HOALeader     If life were a sitcom  I know the channel mine would be   YAY    Which one would YOU choose  Hmmm    is it that easy      YES     Now Act Police   to Protect  amp  Serve  or history takers and CSI s  #Choice #HOA  help #InsideEdition Unconditional LOVE IT  amp  LeT iT Go  @2emcSome times  Turn the other cheek  means KISS MY A    Great day in the morning Great day in the after noon Great Day in the evening the whole night thru  BUT That s UR Choice   isnt it GREAT  @Tynico Most excellent  This works very well     Lost something     try it     @silverhuang Always look for the gift  even when wrapped in sandpaper   cause it is there  Real Time Brainstorming    Like it or Love it    #ThankYou  @libertygirl3    laughing @   reference pertained only to me     I don t like laughing  @  PPL unless it is for their @Twitter   Friends  @RevRunWisdom Its all in how we choose to step act  I speak in riddles  that builds our future  until we act however  all just dreams  @aplusk May all good Awe SOME come her way tho  as to you and @mrskutcher also  @tweeterdiva  OK  How to join  LOL    I think I have a HIGH EvE ratio  Educational AND Entertaining  @iowadawg Most EXCELLENT of Saturdays to you  May your day be filled with fun  laughter  enLightenment  amp  love  the BEST prosperity  http   bit ly KuFO9    Yeppers    BE the source of your Joy  @argentbeauquest Unconditional Love   whoa     one person @ a time Now @ the speed of the Internet  Britney Vid person   watch it or you ll have the @therealdevil after you  It s good to have evil friends   ya know @FreeToBYou What would you do if you KNEW you WILL succeed  I got a blog about that  WELCOME     I Mean THIS LifeTime           @DharmaTalks Mankinder Unconditional Love Namaste other than that we are limitless as to what we can do  One can not B loved if one does not love  Just as one can not be respected if one does not first respect  How to respect  GIVE it  so ezy @ZnaTrainer Now from me to we to us  @jeffpower Technology is a miracle so long in the making  but now available to more exponentially everyday   Thank You for what you do  Follow @TheElationsCo for a chance to win a wellness weekend for you and a friend  @texasben13 LOL    You do so Rock ,27
1844,2legit2qkuit,I love discovering new music ,27
1863,2muchlipstick,we got a new gig 4 our set @ Hardewijk 1300 people  11 june we are verry excited   bizzy week to go   2ML is rocking strong  love ,27
